식품명,평균잔반량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg)
탕수육,44.85185185,160,10.6,6.86,13.14,4.37,0.5,8,0.33,113,212,110,21,3.37,0.15
탕평채,11.86043165,97,3.55,3.81,12.26,0.39,2.7,19,0,47,72,260,21,6.65,
파래무침,20.04761905,49,3.6,1.11,8.65,0.99,4.1,75,1.44,39,440,718,27,8.87,0
팔보채,34.18275862,73,10.2,2.69,1.56,0.23,0.3,39,1.39,134,198,385,1,1.23,1.53
폭찹,24.76449912,124,12.2,5.35,5.73,3.49,0.8,8,0.29,122,275,164,9,3.41,0.13
피자,4,153,7.8,4.77,21.07,3.1,1.6,45,0.53,98,210,179,30,6.88,0.04
하이라이스,127,120,3.3,1.69,22.08,1.12,1.2,7,0.22,46,141,71,24,2.09,0.01
함박스테이크,13,229,13.48,14.82,10.38,2.67,2.8,41,0,183,277,475,11,1.38,
핫도그,7.718804921,341,7.98,23.23,24.95,3.95,2.6,29,0.26,71,58,398,,0.61,0
해물콩나물찜,49.28657617,51,7.04,1.11,3.83,0.74,1.3,33,1.17,101,184,139,23,0.94,0.55
해물탕,139.4573055,45,6.63,0.78,2.77,0.13,1,82,0,92,157,341,16,0,
해물파전,17.4770318,106,6,3.99,10.63,0.28,0.5,40,1.2,76,118,267,11,1.49,0.79
햄전,6.727586207,200,10.2,13.66,8.23,0.78,0.2,21,0.68,128,181,300,24,17.47,0.18
현미밥,21.06852903,120,2.3,0.38,25.75,0.18,0.7,2,0.12,39,35,1,0,0,0
호박전,13.88663968,139,4.32,8.73,10.73,1.9,4.6,32,0,83,205,185,7,0,
혼합잡곡밥,32.62687541,118,2.3,0.22,25.63,0.07,0.7,3,0.53,38,67,2,0,0.12,0
흑미밥,14.60636396,120,2.3,0.37,25.73,0.17,0.7,3,0.09,38,33,1,0,0,0
